Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
36.0,Self Enquiry,3.0,24.0,Salaried,Male,4.0,4.0,Deluxe,5.0,Married,5.0,1.0,3.0,0.0,3.0,Manager,27644.0,0
31.0,Company Invited,2.0,15.0,Salaried,Female,4.0,5.0,Basic,3.0,Married,8.0,0.0,5.0,1.0,3.0,Executive,20858.0,0
29.0,Self Enquiry,1.0,6.0,Salaried,Female,2.0,4.0,Super Deluxe,3.0,Married,4.0,0.0,2.0,0.0,1.0,AVP,31124.0,0
37.0,Self Enquiry,1.0,8.0,Large Business,Female,4.0,6.0,Standard,5.0,Married,4.0,1.0,1.0,1.0,1.0,Senior Manager,28930.0,0
28.0,Company Invited,1.0,22.0,Small Business,Male,2.0,3.0,Basic,3.0,Single,2.0,0.0,3.0,0.0,0.0,Executive,17144.0,0
41.0,Company Invited,1.0,16.0,Salaried,Male,4.0,5.0,Deluxe,3.0,Divorced,2.0,0.0,5.0,1.0,1.0,Manager,23554.0,0
42.0,Self Enquiry,3.0,13.0,Salaried,Female,4.0,4.0,Standard,3.0,Single,5.0,1.0,2.0,0.0,2.0,Senior Manager,32269.0,0
35.0,Self Enquiry,3.0,9.0,Salaried,Male,3.0,3.0,Standard,3.0,Married,7.0,0.0,5.0,0.0,1.0,Senior Manager,22823.0,1
51.0,Self Enquiry,1.0,7.0,Small Business,Male,3.0,5.0,Basic,3.0,Divorced,4.0,0.0,3.0,0.0,1.0,Executive,22368.0,0
39.0,Self Enquiry,1.0,16.0,Small Business,Male,2.0,3.0,Super Deluxe,5.0,Divorced,2.0,1.0,3.0,1.0,1.0,AVP,32068.0,0
46.0,Company Invited,1.0,11.0,Salaried,Male,3.0,4.0,Deluxe,4.0,Divorced,3.0,0.0,4.0,1.0,2.0,Manager,23125.0,1
38.0,Self Enquiry,3.0,23.0,Small Business,Male,4.0,5.0,Deluxe,3.0,Married,6.0,0.0,5.0,1.0,1.0,Manager,25012.0,0
33.0,Self Enquiry,3.0,15.0,Small Business,Male,3.0,2.0,Deluxe,3.0,Divorced,3.0,0.0,5.0,0.0,1.0,Manager,24887.0,0
37.0,Self Enquiry,1.0,19.0,Small Business,Fe Male,3.0,5.0,Standard,3.0,Unmarried,2.0,0.0,1.0,1.0,1.0,Senior Manager,27536.0,0
33.0,Company Invited,3.0,18.0,Salaried,Male,3.0,2.0,Deluxe,3.0,Married,2.0,0.0,3.0,1.0,1.0,Manager,23385.0,0
50.0,Self Enquiry,1.0,35.0,Salaried,Male,2.0,4.0,Super Deluxe,3.0,Married,1.0,0.0,5.0,1.0,1.0,AVP,32046.0,0
35.0,Self Enquiry,3.0,9.0,Small Business,Female,3.0,4.0,Deluxe,5.0,Unmarried,2.0,1.0,3.0,1.0,1.0,Manager,23216.0,0
38.0,Company Invited,3.0,11.0,Small Business,Male,3.0,4.0,Basic,3.0,Married,6.0,0.0,4.0,1.0,1.0,Executive,20855.0,0
37.0,Self Enquiry,3.0,9.0,Salaried,Female,3.0,4.0,Deluxe,3.0,Unmarried,5.0,0.0,4.0,1.0,2.0,Manager,23180.0,0
45.0,Self Enquiry,1.0,6.0,Large Business,Male,3.0,3.0,Standard,4.0,Married,2.0,0.0,3.0,1.0,1.0,Senior Manager,22441.0,0
31.0,Company Invited,1.0,16.0,Small Business,Female,2.0,3.0,Standard,3.0,Married,5.0,0.0,1.0,1.0,1.0,Senior Manager,26031.0,0
26.0,Self Enquiry,1.0,30.0,Large Business,Male,3.0,5.0,Basic,3.0,Single,2.0,1.0,3.0,1.0,2.0,Executive,17340.0,0
22.0,Company Invited,1.0,22.0,Small Business,Male,3.0,1.0,Basic,3.0,Married,2.0,1.0,3.0,0.0,2.0,Executive,17935.0,0
32.0,Company Invited,1.0,27.0,Salaried,Male,4.0,4.0,Standard,3.0,Divorced,5.0,0.0,3.0,1.0,1.0,Senior Manager,28502.0,1
33.0,Self Enquiry,1.0,16.0,Salaried,Female,4.0,4.0,Deluxe,3.0,Married,3.0,1.0,5.0,1.0,3.0,Manager,25000.0,0
41.0,Self Enquiry,3.0,16.0,Small Business,Male,3.0,4.0,Deluxe,5.0,Married,2.0,0.0,3.0,1.0,2.0,Manager,24151.0,0
39.0,Self Enquiry,1.0,10.0,Large Business,Female,3.0,4.0,Deluxe,3.0,Unmarried,5.0,1.0,5.0,1.0,1.0,Manager,22995.0,1
36.0,Self Enquiry,1.0,16.0,Large Business,Female,3.0,3.0,Standard,3.0,Divorced,4.0,0.0,3.0,0.0,2.0,Senior Manager,22094.0,0
28.0,Self Enquiry,3.0,16.0,Small Business,Male,3.0,4.0,Deluxe,3.0,Unmarried,3.0,0.0,1.0,0.0,2.0,Manager,22783.0,0
27.0,Self Enquiry,3.0,15.0,Large Business,Male,3.0,5.0,Deluxe,5.0,Unmarried,8.0,0.0,3.0,0.0,1.0,Manager,24004.0,1
29.0,Self Enquiry,3.0,9.0,Small Business,Female,3.0,4.0,Deluxe,4.0,Divorced,3.0,1.0,3.0,1.0,1.0,Manager,23457.0,0
45.0,Self Enquiry,1.0,36.0,Salaried,Male,3.0,4.0,Deluxe,3.0,Unmarried,3.0,0.0,5.0,1.0,2.0,Manager,23219.0,1
23.0,Company Invited,1.0,11.0,Large Business,Male,4.0,5.0,Basic,3.0,Unmarried,7.0,0.0,5.0,0.0,1.0,Executive,22572.0,0
33.0,Self Enquiry,1.0,12.0,Salaried,Male,3.0,5.0,Deluxe,3.0,Unmarried,2.0,0.0,1.0,0.0,2.0,Manager,28357.0,0
50.0,Company Invited,3.0,18.0,Salaried,Male,2.0,3.0,Deluxe,3.0,Single,4.0,1.0,3.0,1.0,1.0,Manager,31880.0,0
41.0,Company Invited,3.0,10.0,Small Business,Male,2.0,3.0,Deluxe,4.0,Unmarried,2.0,0.0,3.0,1.0,0.0,Manager,24355.0,0
43.0,Company Invited,1.0,12.0,Salaried,Male,4.0,4.0,Basic,3.0,Divorced,6.0,0.0,3.0,1.0,1.0,Executive,20771.0,0
38.0,Self Enquiry,2.0,6.0,Salaried,Male,2.0,1.0,Basic,3.0,Married,2.0,0.0,4.0,1.0,0.0,Executive,17844.0,0
33.0,Self Enquiry,3.0,15.0,Small Business,Female,3.0,3.0,Deluxe,5.0,Unmarried,1.0,1.0,3.0,0.0,0.0,Manager,23224.0,0
41.0,Self Enquiry,1.0,11.0,Salaried,Male,2.0,1.0,Deluxe,4.0,Unmarried,4.0,0.0,5.0,1.0,0.0,Manager,21870.0,0
47.0,Self Enquiry,1.0,8.0,Salaried,Female,2.0,3.0,Super Deluxe,3.0,Divorced,2.0,1.0,4.0,1.0,0.0,AVP,31752.0,0
31.0,Self Enquiry,1.0,35.0,Small Business,Female,4.0,4.0,Deluxe,3.0,Married,3.0,0.0,3.0,1.0,3.0,Manager,24453.0,0
43.0,Self Enquiry,3.0,15.0,Small Business,Female,2.0,5.0,Deluxe,3.0,Single,1.0,0.0,2.0,1.0,1.0,Manager,20346.0,0
40.0,Company Invited,1.0,9.0,Salaried,Male,3.0,4.0,Super Deluxe,3.0,Married,2.0,0.0,3.0,1.0,1.0,AVP,30847.0,0
31.0,Self Enquiry,3.0,12.0,Small Business,Female,2.0,5.0,Deluxe,3.0,Married,3.0,0.0,1.0,1.0,1.0,Manager,24796.0,0
35.0,Self Enquiry,1.0,7.0,Salaried,Male,3.0,4.0,Basic,3.0,Married,3.0,0.0,3.0,1.0,2.0,Executive,21369.0,0
29.0,Self Enquiry,3.0,6.0,Small Business,Female,2.0,4.0,Basic,3.0,Married,7.0,1.0,2.0,0.0,1.0,Executive,17800.0,0
41.0,Self Enquiry,1.0,7.0,Salaried,Female,3.0,4.0,Deluxe,3.0,Married,6.0,0.0,3.0,0.0,2.0,Manager,25191.0,0
37.0,Self Enquiry,1.0,17.0,Large Business,Female,4.0,4.0,Standard,3.0,Divorced,5.0,0.0,3.0,0.0,3.0,Senior Manager,25772.0,0
32.0,Company Invited,1.0,6.0,Salaried,Male,3.0,3.0,Basic,3.0,Married,1.0,0.0,5.0,1.0,0.0,Executive,17314.0,0
33.0,Self Enquiry,1.0,12.0,Salaried,Female,3.0,2.0,Basic,3.0,Married,5.0,0.0,5.0,1.0,2.0,Executive,21990.0,0
36.0,Self Enquiry,3.0,35.0,Salaried,Female,4.0,5.0,Basic,3.0,Married,2.0,0.0,4.0,1.0,3.0,Executive,21108.0,0
33.0,Company Invited,1.0,6.0,Salaried,Fe Male,3.0,3.0,Standard,3.0,Unmarried,2.0,1.0,2.0,1.0,0.0,Senior Manager,28458.0,1
25.0,Self Enquiry,1.0,15.0,Salaried,Male,2.0,3.0,Basic,5.0,Single,4.0,0.0,1.0,1.0,0.0,Executive,17096.0,0
59.0,Self Enquiry,1.0,24.0,Small Business,Male,3.0,3.0,Standard,3.0,Unmarried,7.0,0.0,3.0,1.0,1.0,Senior Manager,25512.0,1
36.0,Company Invited,1.0,7.0,Small Business,Male,4.0,4.0,Basic,5.0,Married,6.0,0.0,1.0,0.0,2.0,Executive,20872.0,0
33.0,Self Enquiry,1.0,9.0,Large Business,Male,3.0,5.0,Deluxe,5.0,Single,6.0,0.0,4.0,0.0,2.0,Manager,20854.0,1
34.0,Company Invited,1.0,7.0,Salaried,Female,3.0,2.0,Deluxe,4.0,Divorced,3.0,1.0,3.0,0.0,2.0,Manager,24166.0,0
31.0,Self Enquiry,1.0,9.0,Small Business,Fe Male,3.0,5.0,Deluxe,3.0,Unmarried,7.0,1.0,1.0,1.0,2.0,Manager,25555.0,0
35.0,Company Invited,2.0,30.0,Salaried,Female,3.0,4.0,Standard,5.0,Married,2.0,1.0,3.0,1.0,1.0,Senior Manager,28628.0,0
39.0,Self Enquiry,3.0,10.0,Salaried,Male,4.0,4.0,Standard,3.0,Married,2.0,0.0,1.0,1.0,2.0,Senior Manager,29287.0,1
60.0,Self Enquiry,1.0,9.0,Salaried,Female,4.0,5.0,Super Deluxe,3.0,Single,5.0,1.0,5.0,0.0,3.0,AVP,32404.0,0
29.0,Self Enquiry,1.0,24.0,Large Business,Male,3.0,5.0,Basic,3.0,Married,7.0,0.0,3.0,0.0,2.0,Executive,21045.0,0
43.0,Self Enquiry,1.0,7.0,Salaried,Female,4.0,4.0,Basic,5.0,Married,5.0,0.0,3.0,1.0,2.0,Executive,21254.0,0
38.0,Self Enquiry,1.0,17.0,Small Business,Female,4.0,4.0,Basic,5.0,Divorced,8.0,0.0,2.0,1.0,2.0,Executive,22130.0,0
43.0,Self Enquiry,1.0,20.0,Salaried,Male,3.0,3.0,Super Deluxe,5.0,Married,7.0,0.0,5.0,1.0,1.0,AVP,32159.0,0
38.0,Self Enquiry,2.0,13.0,Salaried,Male,4.0,4.0,Basic,5.0,Married,6.0,1.0,2.0,1.0,1.0,Executive,20751.0,1
42.0,Self Enquiry,3.0,18.0,Small Business,Male,3.0,3.0,Deluxe,3.0,Married,4.0,1.0,1.0,0.0,0.0,Manager,20087.0,0
41.0,Self Enquiry,1.0,9.0,Small Business,Female,4.0,4.0,Basic,3.0,Married,4.0,0.0,1.0,1.0,2.0,Executive,20679.0,0
42.0,Company Invited,3.0,18.0,Salaried,Male,2.0,3.0,Super Deluxe,5.0,Single,1.0,1.0,5.0,1.0,1.0,AVP,28758.0,0
52.0,Self Enquiry,1.0,15.0,Salaried,Male,3.0,5.0,Standard,4.0,Divorced,7.0,0.0,3.0,1.0,2.0,Senior Manager,31168.0,1
23.0,Self Enquiry,1.0,14.0,Salaried,Male,4.0,4.0,Basic,4.0,Single,3.0,1.0,3.0,1.0,1.0,Executive,21150.0,1
52.0,Company Invited,1.0,31.0,Small Business,Female,2.0,4.0,Super Deluxe,3.0,Divorced,4.0,0.0,5.0,0.0,1.0,AVP,28826.0,0
32.0,Self Enquiry,1.0,6.0,Small Business,Male,2.0,3.0,Deluxe,3.0,Divorced,2.0,1.0,4.0,1.0,0.0,Manager,21162.0,0
32.0,Self Enquiry,1.0,9.0,Small Business,Female,3.0,3.0,Deluxe,5.0,Divorced,2.0,0.0,2.0,1.0,1.0,Manager,21725.0,0
47.0,Self Enquiry,1.0,20.0,Salaried,Male,3.0,4.0,Deluxe,4.0,Unmarried,8.0,0.0,4.0,1.0,1.0,Manager,24240.0,0
36.0,Self Enquiry,1.0,12.0,Large Business,Male,4.0,4.0,Standard,4.0,Unmarried,2.0,0.0,3.0,0.0,1.0,Senior Manager,26773.0,0
38.0,Company Invited,3.0,11.0,Small Business,Male,3.0,4.0,Basic,3.0,Married,6.0,0.0,4.0,1.0,1.0,Executive,21471.0,0
36.0,Self Enquiry,3.0,22.0,Small Business,Male,3.0,6.0,Deluxe,3.0,Married,8.0,1.0,1.0,1.0,2.0,Manager,24118.0,0
52.0,Self Enquiry,1.0,18.0,Large Business,Female,3.0,5.0,Super Deluxe,4.0,Single,5.0,0.0,1.0,0.0,2.0,AVP,31820.0,0
38.0,Company Invited,1.0,35.0,Salaried,Female,2.0,3.0,Deluxe,3.0,Single,2.0,0.0,3.0,1.0,0.0,Manager,17406.0,0
39.0,Self Enquiry,1.0,16.0,Small Business,Male,3.0,3.0,Super Deluxe,5.0,Married,2.0,1.0,3.0,1.0,2.0,AVP,32068.0,1
52.0,Company Invited,1.0,34.0,Small Business,Female,2.0,1.0,Super Deluxe,3.0,Divorced,3.0,1.0,4.0,0.0,0.0,AVP,28247.0,1
38.0,Self Enquiry,3.0,6.0,Salaried,Fe Male,2.0,4.0,Deluxe,3.0,Unmarried,5.0,0.0,2.0,1.0,1.0,Manager,23686.0,1
46.0,Self Enquiry,3.0,8.0,Salaried,Male,3.0,3.0,Standard,3.0,Married,5.0,1.0,3.0,0.0,2.0,Senior Manager,25368.0,0
28.0,Company Invited,1.0,7.0,Large Business,Male,3.0,5.0,Deluxe,5.0,Divorced,7.0,0.0,3.0,0.0,2.0,Manager,22976.0,1
24.0,Company Invited,2.0,16.0,Small Business,Male,2.0,3.0,Basic,3.0,Married,1.0,0.0,4.0,1.0,1.0,Executive,17145.0,0
35.0,Self Enquiry,1.0,7.0,Salaried,Male,3.0,4.0,Basic,3.0,Divorced,3.0,0.0,3.0,1.0,1.0,Executive,21369.0,0
33.0,Self Enquiry,1.0,10.0,Salaried,Female,3.0,4.0,Standard,3.0,Single,5.0,0.0,1.0,1.0,1.0,Senior Manager,29837.0,0
37.0,Company Invited,3.0,15.0,Large Business,Male,3.0,4.0,Deluxe,3.0,Married,6.0,0.0,3.0,1.0,2.0,Manager,23757.0,0
50.0,Self Enquiry,1.0,32.0,Salaried,Female,3.0,4.0,Basic,5.0,Married,3.0,0.0,3.0,0.0,1.0,Executive,21889.0,0
34.0,Self Enquiry,1.0,13.0,Salaried,Fe Male,2.0,3.0,Standard,4.0,Unmarried,1.0,0.0,5.0,0.0,0.0,Senior Manager,26994.0,0
22.0,Self Enquiry,1.0,17.0,Salaried,Female,3.0,5.0,Basic,5.0,Single,3.0,0.0,3.0,1.0,1.0,Executive,20094.0,0
26.0,Self Enquiry,3.0,10.0,Salaried,Male,4.0,4.0,Deluxe,5.0,Married,3.0,1.0,4.0,0.0,3.0,Manager,22872.0,0
29.0,Self Enquiry,1.0,16.0,Small Business,Female,4.0,4.0,Basic,3.0,Married,7.0,0.0,3.0,1.0,2.0,Executive,21055.0,0
41.0,Self Enquiry,1.0,15.0,Salaried,Male,3.0,3.0,Basic,5.0,Married,3.0,0.0,1.0,0.0,0.0,Executive,17238.0,0
31.0,Self Enquiry,1.0,7.0,Salaried,Male,3.0,6.0,Basic,3.0,Married,5.0,0.0,4.0,1.0,1.0,Executive,22511.0,1
26.0,Self Enquiry,2.0,9.0,Salaried,Female,3.0,4.0,Basic,4.0,Married,6.0,0.0,4.0,0.0,1.0,Executive,20865.0,0
30.0,Self Enquiry,3.0,18.0,Large Business,Female,2.0,3.0,Deluxe,3.0,Unmarried,1.0,0.0,1.0,1.0,1.0,Manager,21577.0,0
49.0,Self Enquiry,3.0,36.0,Small Business,Female,4.0,4.0,Standard,3.0,Married,5.0,0.0,4.0,0.0,2.0,Senior Manager,31182.0,0
27.0,Self Enquiry,1.0,22.0,Large Business,Female,2.0,3.0,Basic,4.0,Divorced,1.0,0.0,2.0,1.0,0.0,Executive,17811.0,0
34.0,Self Enquiry,2.0,15.0,Large Business,Female,2.0,3.0,Basic,3.0,Divorced,2.0,0.0,1.0,1.0,0.0,Executive,17742.0,0
18.0,Company Invited,1.0,20.0,Small Business,Female,2.0,3.0,Basic,3.0,Single,2.0,0.0,5.0,1.0,0.0,Executive,16514.0,0
24.0,Self Enquiry,3.0,6.0,Large Business,Female,3.0,3.0,Basic,4.0,Single,2.0,1.0,4.0,1.0,2.0,Executive,18202.0,0
46.0,Self Enquiry,3.0,9.0,Salaried,Male,4.0,4.0,Deluxe,4.0,Married,2.0,0.0,5.0,1.0,3.0,Manager,23483.0,0
36.0,Company Invited,3.0,7.0,Small Business,Fe Male,4.0,4.0,Standard,3.0,Unmarried,3.0,0.0,5.0,1.0,1.0,Senior Manager,27467.0,0
36.0,Company Invited,3.0,19.0,Salaried,Male,3.0,4.0,Deluxe,3.0,Unmarried,5.0,1.0,3.0,1.0,1.0,Manager,23259.0,0
30.0,Company Invited,3.0,27.0,Large Business,Female,3.0,4.0,Basic,3.0,Married,3.0,0.0,3.0,0.0,2.0,Executive,20835.0,0
29.0,Self Enquiry,1.0,13.0,Large Business,Female,2.0,3.0,Basic,3.0,Married,4.0,1.0,4.0,1.0,1.0,Executive,18339.0,1
32.0,Company Invited,3.0,8.0,Salaried,Female,3.0,3.0,Basic,5.0,Married,2.0,0.0,3.0,0.0,1.0,Executive,17827.0,0
33.0,Company Invited,3.0,16.0,Small Business,Male,3.0,6.0,Deluxe,3.0,Married,2.0,0.0,2.0,0.0,2.0,Manager,23346.0,1
30.0,Self Enquiry,1.0,11.0,Large Business,Female,4.0,5.0,Basic,5.0,Married,3.0,0.0,4.0,0.0,1.0,Executive,20787.0,0
30.0,Company Invited,1.0,11.0,Small Business,Female,2.0,3.0,Basic,4.0,Single,1.0,0.0,3.0,0.0,0.0,Executive,17422.0,0
32.0,Company Invited,1.0,6.0,Salaried,Female,3.0,4.0,Basic,4.0,Divorced,7.0,0.0,3.0,1.0,0.0,Executive,17332.0,1
30.0,Self Enquiry,1.0,11.0,Large Business,Female,2.0,3.0,Basic,5.0,Married,6.0,0.0,5.0,1.0,1.0,Executive,18204.0,0
47.0,Company Invited,1.0,22.0,Small Business,Male,3.0,1.0,Deluxe,3.0,Married,2.0,1.0,1.0,1.0,0.0,Manager,20067.0,0
55.0,Self Enquiry,1.0,6.0,Small Business,Male,2.0,3.0,King,5.0,Single,1.0,1.0,1.0,1.0,1.0,VP,34045.0,0
38.0,Self Enquiry,1.0,10.0,Salaried,Female,3.0,4.0,Deluxe,4.0,Unmarried,5.0,0.0,4.0,1.0,1.0,Manager,22785.0,0
35.0,Self Enquiry,1.0,15.0,Salaried,Female,3.0,4.0,Deluxe,5.0,Married,5.0,0.0,5.0,1.0,2.0,Manager,23799.0,0
52.0,Self Enquiry,1.0,17.0,Salaried,Female,2.0,3.0,Deluxe,3.0,Divorced,1.0,0.0,2.0,1.0,1.0,Manager,18149.0,0
51.0,Self Enquiry,1.0,9.0,Small Business,Female,3.0,3.0,Super Deluxe,4.0,Single,4.0,0.0,5.0,1.0,1.0,AVP,28734.0,0
38.0,Self Enquiry,1.0,17.0,Salaried,Female,3.0,4.0,Basic,5.0,Married,2.0,1.0,3.0,1.0,2.0,Executive,21460.0,1
49.0,Company Invited,1.0,16.0,Salaried,Female,2.0,3.0,King,5.0,Single,1.0,1.0,3.0,0.0,0.0,VP,33665.0,0
36.0,Self Enquiry,1.0,12.0,Salaried,Female,2.0,1.0,Basic,3.0,Married,4.0,0.0,1.0,0.0,0.0,Executive,18038.0,0
52.0,Self Enquiry,1.0,8.0,Salaried,Female,2.0,4.0,Basic,3.0,Single,1.0,0.0,3.0,1.0,0.0,Executive,18212.0,1
31.0,Company Invited,1.0,9.0,Small Business,Female,3.0,4.0,Basic,3.0,Single,2.0,0.0,4.0,1.0,1.0,Executive,21242.0,1
37.0,Self Enquiry,1.0,34.0,Small Business,Male,4.0,4.0,Deluxe,3.0,Divorced,8.0,0.0,3.0,1.0,1.0,Manager,23915.0,0
29.0,Self Enquiry,1.0,36.0,Salaried,Male,4.0,6.0,Deluxe,4.0,Divorced,3.0,0.0,1.0,1.0,3.0,Manager,25227.0,0
30.0,Self Enquiry,3.0,30.0,Salaried,Female,3.0,5.0,Standard,5.0,Divorced,3.0,0.0,3.0,0.0,1.0,Senior Manager,26014.0,0
54.0,Company Invited,2.0,32.0,Salaried,Female,1.0,1.0,Super Deluxe,3.0,Single,3.0,1.0,3.0,1.0,0.0,AVP,32328.0,0
31.0,Self Enquiry,3.0,22.0,Small Business,Male,4.0,5.0,Standard,5.0,Married,4.0,0.0,1.0,0.0,3.0,Senior Manager,25818.0,0
41.0,Company Invited,1.0,23.0,Small Business,Male,3.0,5.0,Deluxe,3.0,Unmarried,8.0,0.0,5.0,1.0,2.0,Manager,23772.0,0
50.0,Self Enquiry,1.0,15.0,Salaried,Male,3.0,3.0,Basic,3.0,Divorced,5.0,0.0,5.0,1.0,0.0,Executive,17380.0,0
41.0,Self Enquiry,1.0,13.0,Salaried,Female,4.0,4.0,Super Deluxe,3.0,Single,2.0,0.0,5.0,1.0,1.0,AVP,31915.0,1
29.0,Self Enquiry,1.0,6.0,Salaried,Male,2.0,3.0,Deluxe,5.0,Married,1.0,0.0,3.0,1.0,0.0,Manager,20373.0,1
48.0,Company Invited,3.0,10.0,Small Business,Female,3.0,4.0,Super Deluxe,3.0,Married,2.0,1.0,5.0,1.0,2.0,AVP,32448.0,0
30.0,Company Invited,3.0,28.0,Salaried,Female,3.0,3.0,Standard,5.0,Divorced,1.0,0.0,2.0,1.0,0.0,Senior Manager,23412.0,0
31.0,Self Enquiry,1.0,9.0,Small Business,Male,3.0,5.0,Basic,3.0,Unmarried,2.0,0.0,4.0,0.0,1.0,Executive,21398.0,1
36.0,Company Invited,3.0,14.0,Large Business,Male,2.0,3.0,Deluxe,3.0,Married,5.0,0.0,3.0,1.0,1.0,Manager,20079.0,0
37.0,Self Enquiry,3.0,7.0,Salaried,Male,3.0,4.0,Deluxe,3.0,Married,3.0,1.0,3.0,1.0,2.0,Manager,24879.0,0
24.0,Self Enquiry,1.0,17.0,Large Business,Male,3.0,2.0,Basic,3.0,Married,4.0,0.0,1.0,1.0,1.0,Executive,20751.0,0
40.0,Self Enquiry,1.0,25.0,Small Business,Male,1.0,3.0,Deluxe,3.0,Married,1.0,1.0,1.0,1.0,0.0,Manager,17741.0,0
50.0,Self Enquiry,1.0,8.0,Small Business,Male,3.0,3.0,King,3.0,Married,3.0,1.0,1.0,1.0,2.0,VP,34237.0,0
44.0,Self Enquiry,1.0,10.0,Small Business,Male,2.0,3.0,Deluxe,4.0,Single,1.0,0.0,2.0,1.0,0.0,Manager,20933.0,0
33.0,Company Invited,3.0,17.0,Small Business,Male,4.0,4.0,Deluxe,3.0,Unmarried,2.0,0.0,3.0,1.0,2.0,Manager,23326.0,0
40.0,Self Enquiry,3.0,31.0,Small Business,Male,2.0,4.0,Standard,4.0,Unmarried,3.0,1.0,5.0,0.0,1.0,Senior Manager,24094.0,1
